segment,customers,pct_customers,revenue_brl,pct_revenue,avg_value_brl,avg_recency_days,avg_frequency
Hibernating,36964,38.92,5999154.10,38.12,162.30,446,1.00
Promising,18397,19.37,3048776.20,19.38,165.72,186,1.00
"New Customers",18353,19.32,3005806.82,19.10,163.78,95,1.00
"Needs Attention",18381,19.35,2791531.41,17.74,151.87,270,1.00
"Loyal Customers",1729,1.82,517164.26,3.29,299.11,185,2.03
"At Risk",959,1.01,273005.86,1.73,284.68,433,2.00
Champions,129,0.14,70067.84,0.45,543.16,140,3.51
"Cannot Lose Them",71,0.07,30020.54,0.19,422.82,443,3.14
